代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),总市值(元)
400130,新光3,0.22,0.22,0.22,0.22,4972,0,0.0,402176811.3
400131,科迪5,0.77,0.77,0.77,0.77,4282,0,0.0,1517486766.18
400132,易见3,0.15,0.15,0.15,0.15,1351,0,0.0,168367125.0
400135,众应3,0.09,0.09,0.09,0.09,11433,0,0.0,46961494.92
400138,欣盛5,0.58,0.58,0.58,0.58,57,0,3.57,107195372.06
400140,东海A5,0.7,0.7,0.7,0.7,1059,0,2.94,254870000.0
400142,宝德5,0.76,0.76,0.76,0.76,46,0,2.7,240241149.0
400143,德威5,1.07,1.07,1.07,1.07,4404,0,3.88,1455822865.19
400144,猛狮3,0.23,0.23,0.23,0.23,4784,0,4.55,130496109.47
400145,网力3,0.16,0.16,0.16,0.16,6406,0,0.0,191323602.56
400146,聚龙5,0.35,0.35,0.35,0.35,2041,71435.00,0.0,192326400.0
400147,当代3,0.37,0.37,0.37,0.37,6387,0,-2.63,477153519.96
400149,金泰5,0.61,0.61,0.61,0.61,429,0,3.39,90345360.28
400151,天首5,1.0,1.0,1.0,1.0,203,0,0.0,321822022.0
400153,海创A3,0.3,0.3,0.3,0.3,9078,0,0.0,391050000.0
400160,荣华3,0.27,0.27,0.27,0.27,8155,0,0.0,179712000.0
400161,金洲3,0.12,0.12,0.12,0.12,53802,0,0.0,254849919.6
400163,计通5,1.54,1.54,1.54,1.54,1364,0,0.0,258720000.0
400165,蓝光3,0.06,0.06,0.06,0.06,48287,0,20.0,182095826.1
400166,宜康3,0.1,0.1,0.1,0.1,14288,0,0.0,87769755.7
400167,未来3,0.15,0.15,0.15,0.15,4896,0,7.14,77409858.0
400169,江科宏3,0.19,0.19,0.19,0.19,4041,0,0.0,220069086.5
400170,运盛5,0.32,0.32,0.32,0.32,626,0,0.0,109123258.24
400173,银河3,0.28,0.28,0.28,0.28,7442,0,3.7,307975293.36
400176,奇信3,0.16,0.16,0.16,0.16,390,0,6.67,36000000.0
400177,阳竹5,1.76,1.76,1.76,1.76,644,0,0.0,475680128.0
400179,顺利3,0.15,0.15,0.15,0.15,7873,0,0.0,114869902.95
400186,美置3,0.07,0.07,0.07,0.07,20944,0,0.0,171089648.31
400189,广文城3,0.09,0.09,0.09,0.09,3779,0,0.0,43295118.3
400191,粤泰3,0.1,0.1,0.1,0.1,8044,0,0.0,253624787.0
400192,宋都5,0.23,0.23,0.23,0.23,5267,0,0.0,308228134.98
400193,嘉凯城3,0.06,0.06,0.06,0.06,65153,0,0.0,108251490.0
400195,泰禾3,0.06,0.06,0.06,0.06,65294,0,0.0,149334086.4
400197,天润3,0.1,0.1,0.1,0.1,20644,0,-9.09,151054702.3
400199,阳光城3,0.05,0.05,0.05,0.05,113651,0,0.0,207019147.5
400201,海投5,0.48,0.48,0.48,0.48,7277,349272.00,0.0,686512524.0
400204,柏龙3,0.09,0.09,0.09,0.09,6315,0,0.0,48419019.54
400205,泛海3,0.11,0.11,0.11,0.11,85301,0,0.0,571582072.16
400208,金鹤5,0.25,0.25,0.25,0.25,13136,0,0.0,392876339.5
400209,新海宜3,0.09,0.09,0.09,0.09,19979,0,0.0,123720265.44
400210,博天5,0.57,0.57,0.57,0.57,4995,0,-3.39,550500756.57
400212,民生5,0.87,0.87,0.87,0.87,1325,0,2.35,462728199.78
400214,世茂3,0.24,0.24,0.24,0.24,11007,0,0.0,900280382.64
400215,商业城5,3.26,3.26,3.26,3.26,15661,0,0.31,1396628332.74
400216,中资5,0.37,0.37,0.37,0.37,1551,0,2.78,127650000.0
400217,正源3,0.1,0.1,0.1,0.1,10389,0,-9.09,151055000.0
400219,碳元5,0.37,0.37,0.37,0.37,3767,0,0.0,77398524.0
400220,同达5,2.63,2.63,2.63,2.63,1339,0,0.0,365947536.5
400221,太安堂3,0.2,0.2,0.2,0.2,9476,0,-4.76,153354640.0
400224,苏阳光5,0.19,0.19,0.19,0.19,10126,0,0.0,338834661.94
400225,中南3,0.08,0.08,0.08,0.08,52467,0,0.0,306124712.08
400227,利能5,0.54,0.54,0.54,0.54,37461,0,-1.82,1922735984.76
400231,保力新3,0.13,0.13,0.13,0.13,83202,0,0.0,575326877.71
400232,左江5,2.39,2.39,2.39,2.39,569,0,4.37,243851700.0
400233,美吉姆3,0.08,0.08,0.08,0.08,7596,0,0.0,65779034.4
400234,迪马3,0.15,0.15,0.15,0.15,41752,0,0.0,373725942.6
400236,中银5,0.45,0.45,0.45,0.45,69355,0,0.0,1910829572.1
400237,天通5,0.96,0.96,0.96,0.96,35082,0,-4.95,1160117015.04
400238,贵天成3,0.59,0.59,0.59,0.59,3000,0,3.51,300430859.14
400239,联络3,0.23,0.23,0.23,0.23,45710,0,-4.17,500744425.25
400242,巴安3,0.15,0.15,0.15,0.15,9991,0,0.0,100465049.85
400246,新纶3,0.26,0.26,0.26,0.26,30082,0,4.0,299575793.92
400247,航高5,0.39,0.39,0.39,0.39,69517,0,-2.5,976537740.75
400250,鼎龙5,0.32,0.32,0.32,0.32,9891,0,3.23,294398284.48
400251,海印5,0.27,0.27,0.27,0.27,89208,0,-3.57,677496084.39
400253,威创3,0.21,0.21,0.21,0.21,5817,0,0.0,190305076.71
400255,亚星3,3.21,3.21,3.21,3.21,155,0,3.55,918060000.0
400256,鹏都5,0.18,0.18,0.18,0.18,49041,0,0.0,1147366995.84
400258,博信3,0.36,0.36,0.36,0.36,4627,0,2.86,82800000.0
400259,津信科3,0.25,0.25,0.25,0.25,15420,0,0.0,852848590.75
400260,大药5,0.65,0.65,0.65,0.65,1444,0,0.0,142805000.0
400261,伊立浦3,0.16,0.16,0.16,0.16,18241,0,6.67,89107200.0
400262,嘉寓3,0.11,0.11,0.11,0.11,12188,0,0.0,78843600.0
400265,富润3,0.22,0.22,0.22,0.22,10833,0,4.76,111632561.04
400270,龙津5,0.49,0.49,0.49,0.49,2628,0,2.08,196245000.0
400271,龙宇5,3.39,3.39,3.39,3.39,1726,0,0.3,1275634402.26
400272,鹏博士3,0.11,0.11,0.11,0.11,23577,0,10.0,182321029.66
400274,人人乐3,0.4,0.4,0.4,0.4,472,0,2.56,176000000.0
400276,海越3,0.96,0.96,0.96,0.96,7395,0,2.13,449418685.44
400279,中程3,0.58,0.58,0.58,0.58,16508,0,-4.92,434695500.0
400283,高鸿3,0.22,0.22,0.22,0.22,28404,0,4.76,254729204.4
400286,苏药发3,0.35,0.35,0.35,0.35,25457,0,-2.78,248807818.0
400288,奥维3,0.34,0.34,0.34,0.34,943,0,-2.86,117929005.78
400289,德邦5,11.74,11.74,11.74,11.74,116,0,4.92,11875814037.38
400291,立方3,0.18,0.18,0.18,0.18,25323,0,-5.26,115507154.88
420008,水仙B3,0.025,0.025,0.025,0.025,268,0,4.17,5910025.0
420016,R金田B1,0.014,0.014,0.014,0.014,1,0,7.69,5601684.0
420063,武锅B5,0.075,0.075,0.075,0.075,126,0,0.0,22275000.0
420073,上普B5,0.233,0.233,0.233,0.233,68,0,0.0,89058503.52
420085,东沣B5,0.019,0.019,0.019,0.019,7,0,0.0,11952774.9
420120,绿庭B5,0.018,0.018,0.018,0.018,725,0,0.0,12600492.68
420140,东海B5,0.048,0.048,0.048,0.048,3,0,0.0,17476800.0
420153,海创B3,0.029,0.029,0.029,0.029,84,0,0.0,37801500.0
420223,凯马B3,0.031,0.031,0.031,0.031,202,0,0.0,19840000.0
420244,建车B3,0.247,0.247,0.247,0.247,3,0,0.41,29485625.0
420273,凌云B5,0.058,0.058,0.058,0.058,953,0,0.0,20242000.0
