代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),总市值(元)
400002,长白5,2.98,2.98,2.98,2.98,66,19668.00,1.36,180585872.28
400008,水仙A3,1.40,1.40,1.40,1.40,177,24780.00,-2.1,330961400.0
400010,鹫峰3,0.66,0.66,0.66,0.66,209,13794.00,-2.94,89100000.0
400016,R金田A1,0.33,0.33,0.33,0.33,21108,0,3.13,132039694.38
400018,银化3,0.82,0.82,0.82,0.82,100,0,0.0,93767214.84
400021,华夏5,0.65,0.65,0.65,0.65,115,0,1.56,238914000.0
400025,宏业3,0.33,0.33,0.33,0.33,700,0,0.0,36722400.0
400027,生态5,0.28,0.28,0.28,0.28,2713,0,0.0,124890981.04
400036,天创5,0.33,0.33,0.33,0.33,2318,0,0.0,122566147.11
400040,中川3,0.52,0.52,0.52,0.52,340,0,-1.89,85440473.04
400045,猴王3,0.14,0.14,0.14,0.14,11721,0,0.0,119381472.28
400046,博嘉5,0.23,0.23,0.23,0.23,2485,0,0.0,189198000.0
400051,精密3,0.27,0.27,0.27,0.27,888,0,0.0,70522974.0
400053,佳纸3,0.35,0.35,0.35,0.35,632,0,2.94,125806606.1
400055,国瓷5,0.25,0.25,0.25,0.25,1777,0,4.17,198547500.0
400057,海国油3,0.4,0.4,0.4,0.4,516,0,2.56,259203758.8
400059,天珑5,1.44,1.44,1.44,1.44,5608,0,-4.64,2713993921.44
400065,亚美3,0.17,0.17,0.17,0.17,8395,0,-5.56,243735566.76
400068,昆机5,2.63,2.63,2.63,2.63,599,0,0.0,927832845.02
400069,吉恩5,3.75,3.75,3.75,3.75,1742,0,2.46,2938498953.75
400070,烯碳3,0.11,0.11,0.11,0.11,12405,0,0.0,127031521.21
400073,上普A5,5.1,5.1,5.1,5.1,26,0,0.0,1949349218.7
400082,华锐5,0.46,0.46,0.46,0.46,30569,0,4.55,2774076000.0
400084,乐视网3,0.16,0.16,0.16,0.16,37535,0,0.0,638310430.72
400088,美都3,0.1,0.1,0.1,0.1,53105,0,11.11,357648877.3
400089,盛运5,0.47,0.47,0.47,0.47,17526,0,-2.08,1650511004.74
400094,银鸽3,0.22,0.22,0.22,0.22,4288,0,0.0,381985921.24
400097,R刚泰1,0.32,0.32,0.32,0.32,31189,0,-3.03,476388897.28
400098,航通5,4.2,4.2,4.2,4.2,1438,0,0.48,4407157057.8
400099,宜生3,0.11,0.11,0.11,0.11,2635,0,0.0,163115700.44
400100,工新5,0.69,0.69,0.69,0.69,4483,0,4.55,2653102488.3
400110,天翔5,0.47,0.47,0.47,0.47,2559,0,0.0,729189466.97
400114,东北电3,0.22,0.22,0.22,0.22,2182,0,4.76,192141400.0
400119,西创5,1.08,1.08,1.08,1.08,9311,0,2.86,1180509528.24
400120,绿庭A5,0.29,0.29,0.29,0.29,2687,0,0.0,203007937.59
400122,域潇5,2.27,2.27,2.27,2.27,2596,0,0.0,1890236940.46
400123,昌鱼3,0.17,0.17,0.17,0.17,915,0,6.25,86502330.46
400124,中房5,0.19,0.19,0.19,0.19,212,0,0.0,110047035.75
400125,明科5,0.75,0.75,0.75,0.75,595,0,0.0,328059393.0
400128,罗顿5,0.6,0.6,0.6,0.6,1368,0,-3.23,263406701.4
400129,圣莱达3,0.17,0.17,0.17,0.17,1062,0,6.25,27200000.0
