代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400002,长白5,2.85,2.85,2.85,2.85,60,171.0,-1.04,31,203,92482500.0,172707965.1
400008,水仙A3,1.39,1.39,1.39,1.39,40,55.6,-2.8,77,174,37907362.76,328597390.0
400010,鹫峰3,0.70,0.70,0.70,0.70,88,61.6,-1.41,110,8,21735000.0,94500000.0
400016,R金田A1,0.34,0.34,0.34,0.34,3175,1079.5,-2.86,0,16236,105752282.16,136040897.24
400021,华夏5,0.62,0.62,0.62,0.62,156,96.72,-4.62,0,256,227887200.0,227887200.0
400025,宏业3,0.38,0.38,0.38,0.38,186,70.68,2.7,0,328,28928640.0,42286400.0
400027,生态5,0.32,0.32,0.32,0.32,2885,923.2,0.0,7,4563,142718483.2,142732549.76
400030,R蓝璟1,0.76,0.76,0.76,0.76,52115,39607.4,-5.0,0,28441,743319513.92,1013448049.76
400035,R比特1,0.24,0.24,0.24,0.24,75800,18192.0,-4.0,86363,5157,137623470.72,155923955.28
400036,天创5,0.32,0.32,0.32,0.32,4035,1291.2,-3.03,1732,10903,109276558.4,118852021.44
400040,中川3,0.51,0.51,0.51,0.51,114,58.14,-3.77,0,1237,28717387.02,83797387.02
400045,猴王3,0.14,0.14,0.14,0.14,12123,1697.22,7.69,17361,43889,117525783.76,119381472.28
400046,博嘉5,0.23,0.23,0.23,0.23,402,92.46,0.0,3799,14269,115218934.7,189198000.0
400051,精密3,0.26,0.26,0.26,0.26,319,82.94,0.0,1,1010,63824660.38,67911012.0
400053,佳纸3,0.39,0.39,0.39,0.39,500,195.0,0.0,0,446,63997237.2,140184503.94
400055,国瓷5,0.23,0.23,0.23,0.23,2397,551.31,-4.17,0,12825,120524209.46,182663700.0
400057,海国油3,0.38,0.38,0.38,0.38,694,263.72,-2.56,0,7100,128201622.96,246243570.86
400059,天珑5,1.41,1.41,1.41,1.41,4828,6807.48,4.44,2794,0,2646507800.67,2657452381.41
400065,亚美3,0.19,0.19,0.19,0.19,1600,304.0,0.0,723,13192,272391298.85,272410339.32
400068,昆机5,3.07,3.07,3.07,3.07,1049,3220.43,-0.65,25,2582,1083059632.78,1083059632.78
400069,吉恩5,3.80,3.80,3.80,3.80,661,2511.8,-1.55,1249,1387,2977666084.4,2977678939.8
400070,烯碳3,0.10,0.10,0.10,0.10,7220,722.0,-9.09,20642,14095,115482721.1,115483201.1
400073,上普A5,4.93,4.93,4.93,4.93,104,512.72,3.57,184,336,1269106911.41,1884370911.41
400082,华锐5,0.45,0.45,0.45,0.45,28518,12833.1,-2.17,10344,19996,2713103859.15,2713770000.0
400084,乐视网3,0.15,0.15,0.15,0.15,48927,7339.05,0.0,42145,28491,525385882.5,598416028.8
