代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400002,长白5,2.78,2.78,2.78,2.78,103,286.34,-1.77,23,1487,90211000.0,168466015.08
400008,水仙A3,1.35,1.35,1.35,1.35,92,124.2,-2.88,10,195,36816503.4,319141350.0
400010,鹫峰3,0.73,0.73,0.73,0.73,326,237.98,4.29,123,0,22666500.0,98550000.0
400016,R金田A1,0.33,0.33,0.33,0.33,1293,426.69,-2.94,0,6838,102641920.92,132039694.38
400018,银化3,0.79,0.79,0.79,0.79,273,215.67,1.28,3,705,33172100.0,90336706.98
400021,华夏5,0.65,0.65,0.65,0.65,252,163.8,4.84,41,2120,238914000.0,238914000.0
400025,宏业3,0.39,0.39,0.39,0.39,496,193.44,2.63,286,0,29689920.0,43399200.0
400027,生态5,0.32,0.32,0.32,0.32,966,309.12,0.0,57,5414,142718483.2,142732549.76
400030,R蓝璟1,0.82,0.82,0.82,0.82,34098,27960.36,3.8,604,57364,802002633.44,1093457106.32
400035,R比特1,0.24,0.24,0.24,0.24,16679,4002.96,-4.0,0,41570,137623470.72,155923955.28
400036,天创5,0.31,0.31,0.31,0.31,5453,1690.43,-3.13,6764,13354,105861665.95,115137895.77
400040,中川3,0.51,0.51,0.51,0.51,283,144.33,0.0,220,516,28717387.02,83797387.02
400045,猴王3,0.13,0.13,0.13,0.13,5073,659.49,-7.14,11890,58836,109131084.92,110854224.26
400046,博嘉5,0.23,0.23,0.23,0.23,2982,685.86,0.0,1356,13660,115218934.7,189198000.0
400051,精密3,0.27,0.27,0.27,0.27,1099,296.73,3.85,311,301,66279455.01,70522974.0
400053,佳纸3,0.40,0.40,0.40,0.40,209,83.6,2.56,0,516,65638192.0,143778978.4
400055,国瓷5,0.24,0.24,0.24,0.24,808,193.92,0.0,906,13486,125764392.48,190605600.0
400057,海国油3,0.38,0.38,0.38,0.38,918,348.84,0.0,520,5620,128201622.96,246243570.86
400059,天珑5,1.41,1.41,1.41,1.41,3135,4420.35,0.71,1665,303,2646507800.67,2657452381.41
400065,亚美3,0.18,0.18,0.18,0.18,6321,1137.78,-5.26,0,4189,258054914.7,258072953.04
400068,昆机5,2.81,2.81,2.81,2.81,764,2146.84,-3.77,414,1667,991334712.74,991334712.74
400069,吉恩5,3.82,3.82,3.82,3.82,1146,4377.72,0.53,121,195,2993338011.16,2993350934.22
400070,烯碳3,0.11,0.11,0.11,0.11,3856,424.16,10.0,48137,7420,127030993.21,127031521.21
400073,上普A5,4.80,4.80,4.80,4.80,49,235.2,-4.0,150,124,1235641617.6,1834681617.6
400082,华锐5,0.46,0.46,0.46,0.46,10201,4692.46,2.22,18707,22879,2773395056.02,2774076000.0
400084,乐视网3,0.15,0.15,0.15,0.15,43596,6539.4,0.0,24493,101753,525385882.5,598416028.8
400088,美都3,0.10,0.10,0.10,0.10,12883,1288.3,0.0,116552,62409,260308275.4,357648877.3
400089,盛运5,0.50,0.50,0.50,0.50,11974,5987.0,4.17,5812,4065,1755862771.0,1755862771.0
400094,银鸽3,0.22,0.22,0.22,0.22,7480,1645.6,0.0,27889,42771,381985917.94,381985921.24
400097,R刚泰1,0.32,0.32,0.32,0.32,10332,3306.24,-3.03,0,35743,476388897.28,476388897.28
400098,航通5,4.28,4.28,4.28,4.28,1459,6244.52,0.0,111,5578,4487882771.48,4491102906.52
400099,宜生3,0.10,0.10,0.10,0.10,11470,1147.0,0.0,8900,4171,109551001.2,148287000.4
400100,工新5,0.57,0.57,0.57,0.57,17404,9920.28,-5.0,0,47951,1679164496.82,2191693359.9
400110,天翔5,0.51,0.51,0.51,0.51,852,434.52,0.0,1049,3082,611398422.36,791248145.01
400114,东北电3,0.22,0.22,0.22,0.22,3953,869.66,0.0,8348,7894,135322215.16,192141400.0
400119,西创5,1.01,1.01,1.01,1.01,5062,5112.62,1.0,6797,6786,1103995021.78,1103995021.78
400120,绿庭A5,0.31,0.31,0.31,0.31,3472,1076.32,3.33,1748,1460,111849628.12,217008485.01
400122,域潇5,2.27,2.27,2.27,2.27,455,1032.85,-1.3,3688,1083,1539569592.3,1890236940.46
400123,昌鱼3,0.20,0.20,0.20,0.20,3441,688.2,5.26,3868,2734,101767447.6,101767447.6
400124,中房5,0.18,0.18,0.18,0.18,2951,531.18,0.0,9820,2852,104255086.5,104255086.5
400125,明科5,0.74,0.74,0.74,0.74,460,340.4,1.37,2040,4660,323681826.76,323685267.76
400128,罗顿5,0.57,0.57,0.57,0.57,726,413.82,-1.72,938,949,250233160.08,250236366.33
400129,圣莱达3,0.16,0.16,0.16,0.16,2575,412.0,0.0,2,3876,25600000.0,25600000.0
400130,新光3,0.23,0.23,0.23,0.23,687,158.01,4.55,733,3922,124808674.3,420457575.45
400131,科迪5,0.76,0.76,0.76,0.76,6222,4728.72,-3.8,2014,15314,833288786.64,1497779145.84
400132,易见3,0.16,0.16,0.16,0.16,2148,343.68,0.0,5654,10853,80234039.84,179591600.0
400133,R丹邦1,0.28,0.28,0.28,0.28,6689,1872.92,3.7,35211,0,142956688.56,153417600.0
400135,众应3,0.09,0.09,0.09,0.09,4274,384.66,0.0,6491,35361,46961494.92,46961494.92
400138,欣盛5,0.61,0.61,0.61,0.61,186,113.46,0.0,924,3211,112739960.27,112739960.27
400140,东海A5,0.70,0.70,0.70,0.70,784,548.8,0.0,2698,537,188109460.0,254870000.0
400142,宝德5,0.75,0.75,0.75,0.75,60,45.0,0.0,2309,1127,194057437.5,237080081.25
400143,德威5,0.94,0.94,0.94,0.94,5784,5436.96,2.17,258,11300,290878428.78,1278947189.98
400144,猛狮3,0.25,0.25,0.25,0.25,7389,1847.25,4.17,11627,0,119303804.75,141843597.25
400145,网力3,0.16,0.16,0.16,0.16,2312,369.92,0.0,23195,28861,191011139.52,191323602.56
400146,聚龙5,0.35,0.35,0.35,0.35,5619,1966.65,0.0,2975,2226,134266464.85,192326400.0
400147,当代3,0.33,0.33,0.33,0.33,5498,1814.34,-2.94,0,40646,329345838.69,425569355.64
400149,金泰5,0.59,0.59,0.59,0.59,112,66.08,0.0,486,1454,87383217.32,87383217.32
400151,天首5,0.94,0.94,0.94,0.94,563,529.22,-2.08,974,522,302454631.24,302512700.68
400153,海创A3,0.29,0.29,0.29,0.29,2004,581.16,-3.33,0,15139,282311737.5,378015000.0
400160,荣华3,0.27,0.27,0.27,0.27,2823,762.21,3.85,10586,72,179708355.0,179712000.0
400161,金洲3,0.11,0.11,0.11,0.11,76663,8432.93,0.0,100828,147363,183256135.7,233612426.3
400163,计通5,1.68,1.68,1.68,1.68,811,1362.48,-2.33,182,5436,282163692.72,282240000.0
400165,蓝光3,0.05,0.05,0.05,0.05,31789,1589.45,0.0,440673,227028,151439118.1,151746521.75
400166,宜康3,0.10,0.10,0.10,0.10,2621,262.1,-9.09,24114,30468,80599024.2,87769755.7
400167,未来3,0.13,0.13,0.13,0.13,49748,6467.24,-7.14,0,80202,55550086.15,67088543.6
400169,江科宏3,0.18,0.18,0.18,0.18,6214,1118.52,5.88,11811,1632,208486503.0,208486503.0
400170,运盛5,0.32,0.32,0.32,0.32,415,132.8,0.0,67,1750,73889028.16,109123258.24
400173,银河3,0.34,0.34,0.34,0.34,5671,1928.14,3.03,1328,15,284891106.12,373969999.08
400176,奇信3,0.16,0.16,0.16,0.16,983,157.28,0.0,13984,15263,24253752.0,36000000.0
400177,阳竹5,1.74,1.74,1.74,1.74,909,1581.66,2.35,226,2695,470274672.0,470274672.0
400179,顺利3,0.14,0.14,0.14,0.14,6090,852.6,0.0,8721,8042,107211909.42,107211909.42
400186,美置3,0.06,0.06,0.06,0.06,11079,664.74,-14.29,100967,132309,145068031.14,146648269.98
400189,广文城3,0.08,0.08,0.08,0.08,5883,470.64,0.0,13275,13657,25528976.64,38484549.6
400191,粤泰3,0.10,0.10,0.10,0.10,7814,781.4,0.0,7853,68044,253624787.0,253624787.0
400192,宋都5,0.22,0.22,0.22,0.22,3756,826.32,4.76,15237,4349,162835267.76,294826911.72
400193,嘉凯城3,0.06,0.06,0.06,0.06,34585,2075.1,0.0,270316,462965,108251490.0,108251490.0
400195,泰禾3,0.06,0.06,0.06,0.06,27161,1629.66,0.0,235109,211501,149101550.88,149334086.4
400197,天润3,0.11,0.11,0.11,0.11,6309,693.99,0.0,28140,32050,92019241.93,166160172.53
400199,阳光城3,0.05,0.05,0.05,0.05,47134,2356.7,0.0,361142,359878,204961825.25,207019147.5
400201,海投5,0.46,0.46,0.46,0.46,17627,8108.42,0.0,21712,19992,656051763.1,657907835.5
400204,柏龙3,0.10,0.10,0.10,0.10,4539,453.9,-9.09,32766,101610,43334208.0,53798910.6
400205,泛海3,0.12,0.12,0.12,0.12,25573,3068.76,0.0,55328,116181,299328483.84,623544078.72
400208,金鹤5,0.25,0.25,0.25,0.25,11784,2946.0,4.17,25825,27952,308838539.5,392876339.5
400209,新海宜3,0.10,0.10,0.10,0.10,10995,1099.5,11.11,65788,61133,112692970.0,137466961.6
