代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),总市值(元)
400146,聚龙5,0.35,0.35,0.35,0.35,1852,64820.00,-2.78,192326400.0
400147,当代3,0.38,0.38,0.38,0.38,1982,0,-5.0,490049561.04
400149,金泰5,0.58,0.58,0.58,0.58,104,0,0.0,85902145.84
400151,天首5,0.99,0.99,0.99,0.99,398,0,4.21,318603801.78
400153,海创A3,0.3,0.3,0.3,0.3,6084,0,-3.23,391050000.0
400160,荣华3,0.27,0.27,0.27,0.27,5522,0,-3.57,179712000.0
400161,金洲3,0.12,0.12,0.12,0.12,72880,0,-7.69,254849919.6
400163,计通5,1.54,1.54,1.54,1.54,1446,0,0.65,258720000.0
400165,蓝光3,0.05,0.05,0.05,0.05,89813,0,0.0,151746521.75
400166,宜康3,0.1,0.1,0.1,0.1,12909,0,0.0,87769755.7
400167,未来3,0.14,0.14,0.14,0.14,16601,0,0.0,72249200.8
400169,江科宏3,0.19,0.19,0.19,0.19,3927,0,0.0,220069086.5
400170,运盛5,0.33,0.33,0.33,0.33,1101,0,-2.94,112533360.06
400173,银河3,0.27,0.27,0.27,0.27,26874,0,-3.57,296976175.74
400176,奇信3,0.15,0.15,0.15,0.15,1667,0,0.0,33750000.0
400177,阳竹5,1.72,1.72,1.72,1.72,2861,0,4.24,464869216.0
400179,顺利3,0.15,0.15,0.15,0.15,3358,0,0.0,114869902.95
400186,美置3,0.07,0.07,0.07,0.07,25681,0,0.0,171089648.31
400189,广文城3,0.09,0.09,0.09,0.09,3430,0,12.5,43295118.3
400191,粤泰3,0.1,0.1,0.1,0.1,16892,0,11.11,253624787.0
400192,宋都5,0.23,0.23,0.23,0.23,3954,0,0.0,308228134.98
400193,嘉凯城3,0.06,0.06,0.06,0.06,33573,0,0.0,108251490.0
400195,泰禾3,0.06,0.06,0.06,0.06,46388,0,0.0,149334086.4
400197,天润3,0.11,0.11,0.11,0.11,16460,0,0.0,166160172.53
400199,阳光城3,0.05,0.05,0.05,0.05,146357,0,0.0,207019147.5
400201,海投5,0.48,0.48,0.48,0.48,9410,451680.00,0.0,686512524.0
400204,柏龙3,0.09,0.09,0.09,0.09,11422,0,0.0,48419019.54
400205,泛海3,0.11,0.11,0.11,0.11,67301,0,-8.33,571582072.16
400208,金鹤5,0.25,0.25,0.25,0.25,29139,0,0.0,392876339.5
400209,新海宜3,0.09,0.09,0.09,0.09,26128,0,0.0,123720265.44
400210,博天5,0.59,0.59,0.59,0.59,3859,0,-4.84,569816572.59
400212,民生5,0.86,0.86,0.86,0.86,751,0,-3.37,457409484.84
400214,世茂3,0.24,0.24,0.24,0.24,11388,0,4.35,900280382.64
400215,商业城5,3.1,3.1,3.1,3.1,13236,0,4.73,1328082156.9
400216,中资5,0.36,0.36,0.36,0.36,1332,0,-2.7,124200000.0
400217,正源3,0.11,0.11,0.11,0.11,6877,0,0.0,166160500.0
400219,碳元5,0.37,0.37,0.37,0.37,3010,0,0.0,77398524.0
400220,同达5,2.63,2.63,2.63,2.63,263,0,-0.38,365947536.5
400221,太安堂3,0.21,0.21,0.21,0.21,12122,0,-4.55,161022372.0
400224,苏阳光5,0.19,0.19,0.19,0.19,16078,0,0.0,338834661.94
400225,中南3,0.08,0.08,0.08,0.08,31715,0,0.0,306124712.08
400227,利能5,0.56,0.56,0.56,0.56,27085,0,0.0,1993948428.64
400231,保力新3,0.13,0.13,0.13,0.13,75854,0,0.0,575326877.71
400232,左江5,2.41,2.41,2.41,2.41,744,0,0.0,245892300.0
400233,美吉姆3,0.08,0.08,0.08,0.08,4442,0,0.0,65779034.4
400234,迪马3,0.15,0.15,0.15,0.15,19845,0,0.0,373725942.6
400236,中银5,0.46,0.46,0.46,0.46,86019,0,0.0,1953292451.48
400237,天通5,0.97,0.97,0.97,0.97,100259,0,4.3,1172201567.28
400238,贵天成3,0.57,0.57,0.57,0.57,2737,0,-5.0,290246762.22
400239,联络3,0.24,0.24,0.24,0.24,19601,0,-4.0,522515922.0
400242,巴安3,0.15,0.15,0.15,0.15,9438,0,7.14,100465049.85
400246,新纶3,0.25,0.25,0.25,0.25,11186,0,-3.85,288053648.0
400247,航高5,0.4,0.4,0.4,0.4,10169,0,0.0,1001577170.0
400250,鼎龙5,0.3,0.3,0.3,0.3,6843,0,3.45,275998391.7
400251,海印5,0.28,0.28,0.28,0.28,20181,0,3.7,702588531.96
400253,威创3,0.21,0.21,0.21,0.21,5905,0,5.0,190305076.71
400255,亚星3,3.1,3.1,3.1,3.1,103,0,0.0,886600000.0
400256,鹏都5,0.18,0.18,0.18,0.18,44884,0,0.0,1147366995.84
400258,博信3,0.35,0.35,0.35,0.35,8287,0,-2.78,80500000.0
400259,津信科3,0.25,0.25,0.25,0.25,20140,0,0.0,852848590.75
400260,大药5,0.65,0.65,0.65,0.65,1681,0,3.17,142805000.0
400261,伊立浦3,0.15,0.15,0.15,0.15,26770,0,-6.25,83538000.0
400262,嘉寓3,0.11,0.11,0.11,0.11,19784,0,0.0,78843600.0
400265,富润3,0.21,0.21,0.21,0.21,13735,0,-4.55,106558353.72
400270,龙津5,0.48,0.48,0.48,0.48,2466,0,0.0,192240000.0
400271,龙宇5,3.49,3.49,3.49,3.49,2623,0,-4.9,1313263735.66
400272,鹏博士3,0.1,0.1,0.1,0.1,65233,0,-9.09,165746390.6
400274,人人乐3,0.39,0.39,0.39,0.39,801,0,2.63,171600000.0
400276,海越3,0.94,0.94,0.94,0.94,7916,0,4.44,440055796.16
400279,中程3,0.61,0.61,0.61,0.61,6423,0,-4.69,457179750.0
400283,高鸿3,0.21,0.21,0.21,0.21,22765,0,0.0,243150604.2
400286,苏药发3,0.36,0.36,0.36,0.36,4790,0,-2.7,255916612.8
400288,奥维3,0.35,0.35,0.35,0.35,3404,0,-2.78,121397505.95
400289,德邦5,10.66,10.66,10.66,10.66,105,0,4.92,10783320071.42
400291,立方3,0.19,0.19,0.19,0.19,9242,0,-5.0,121924219.04
420008,水仙B3,0.024,0.024,0.024,0.024,79,0,4.35,5673624.0
420016,R金田B1,0.013,0.013,0.013,0.013,1610,0,-7.14,5201563.72
420063,武锅B5,0.075,0.075,0.075,0.075,159,0,0.0,22275000.0
420085,东沣B5,0.019,0.019,0.019,0.019,4,0,5.56,11952774.9
420120,绿庭B5,0.018,0.018,0.018,0.018,71,0,0.0,12600492.68
420153,海创B3,0.029,0.029,0.029,0.029,1018,0,0.0,37801500.0
420178,山航B3,0.203,0.203,0.203,0.203,52,0,1.5,81200000.0
420223,凯马B3,0.031,0.031,0.031,0.031,381,0,3.33,19840000.0
420244,建车B3,0.246,0.246,0.246,0.246,30,0,0.0,29366250.0
420273,凌云B5,0.058,0.058,0.058,0.058,316,0,-1.69,20242000.0
