代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),总市值(元)
400002,长白5,2.80,2.80,2.80,2.80,24,6720.00,0.0,169678000.8
400008,水仙A3,1.43,1.43,1.43,1.43,14,2002.00,-1.38,338053430.0
400010,鹫峰3,0.68,0.68,0.68,0.68,111,7548.00,0.0,91800000.0
400016,R金田A1,0.32,0.32,0.32,0.32,7267,0,3.23,128038491.52
400018,银化3,0.82,0.82,0.82,0.82,65,0,2.5,93767214.84
400021,华夏5,0.61,0.61,0.61,0.61,142,0,1.67,224211600.0
400025,宏业3,0.33,0.33,0.33,0.33,219,0,-2.94,36722400.0
400027,生态5,0.29,0.29,0.29,0.29,865,0,-3.33,129351373.22
400036,天创5,0.33,0.33,0.33,0.33,6128,0,0.0,122566147.11
400040,中川3,0.53,0.53,0.53,0.53,453,0,-1.85,87083559.06
400045,猴王3,0.14,0.14,0.14,0.14,10685,0,0.0,119381472.28
400046,博嘉5,0.23,0.23,0.23,0.23,6095,0,0.0,189198000.0
400051,精密3,0.27,0.27,0.27,0.27,375,0,-3.57,70522974.0
400053,佳纸3,0.34,0.34,0.34,0.34,480,0,3.03,122212131.64
400055,国瓷5,0.23,0.23,0.23,0.23,514,0,-4.17,182663700.0
400057,海国油3,0.39,0.39,0.39,0.39,1598,0,0.0,252723664.83
400059,天珑5,1.44,1.44,1.44,1.44,3947,0,4.35,2713993921.44
400065,亚美3,0.18,0.18,0.18,0.18,1801,0,0.0,258072953.04
400068,昆机5,2.58,2.58,2.58,2.58,1471,0,-1.53,910193437.32
400069,吉恩5,3.5,3.5,3.5,3.5,1501,0,0.86,2742599023.5
400070,烯碳3,0.11,0.11,0.11,0.11,3543,0,0.0,127031521.21
400073,上普A5,5.1,5.1,5.1,5.1,34,0,-0.58,1949349218.7
400082,华锐5,0.46,0.46,0.46,0.46,50218,0,-4.17,2774076000.0
400084,乐视网3,0.16,0.16,0.16,0.16,34144,0,0.0,638310430.72
400088,美都3,0.09,0.09,0.09,0.09,30616,0,-10.0,321883989.57
400089,盛运5,0.47,0.47,0.47,0.47,13876,0,2.17,1650511004.74
400094,银鸽3,0.22,0.22,0.22,0.22,4970,0,4.76,381985921.24
400097,R刚泰1,0.33,0.33,0.33,0.33,18905,0,-2.94,491276050.32
400098,航通5,4.17,4.17,4.17,4.17,1555,0,0.0,4375677364.53
400099,宜生3,0.11,0.11,0.11,0.11,4009,0,0.0,163115700.44
400100,工新5,0.69,0.69,0.69,0.69,6665,0,-1.43,2653102488.3
400110,天翔5,0.47,0.47,0.47,0.47,2575,0,-2.08,729189466.97
400114,东北电3,0.21,0.21,0.21,0.21,3535,0,0.0,183407700.0
400119,西创5,1.08,1.08,1.08,1.08,3461,0,0.0,1180509528.24
400120,绿庭A5,0.28,0.28,0.28,0.28,3943,0,3.7,196007663.88
400122,域潇5,2.25,2.25,2.25,2.25,2940,0,-0.88,1873582870.5
400123,昌鱼3,0.16,0.16,0.16,0.16,2469,0,0.0,81413958.08
400124,中房5,0.19,0.19,0.19,0.19,886,0,0.0,110047035.75
400125,明科5,0.75,0.75,0.75,0.75,128,0,0.0,328059393.0
400128,罗顿5,0.6,0.6,0.6,0.6,2113,0,3.45,263406701.4
400129,圣莱达3,0.16,0.16,0.16,0.16,3236,0,0.0,25600000.0
400130,新光3,0.22,0.22,0.22,0.22,1201,0,-4.35,402176811.3
400131,科迪5,0.75,0.75,0.75,0.75,5676,0,0.0,1478071525.5
400132,易见3,0.15,0.15,0.15,0.15,788,0,0.0,168367125.0
400135,众应3,0.09,0.09,0.09,0.09,5002,0,-10.0,46961494.92
400138,欣盛5,0.58,0.58,0.58,0.58,69,0,0.0,107195372.06
400140,东海A5,0.69,0.69,0.69,0.69,1783,0,0.0,251229000.0
400142,宝德5,0.74,0.74,0.74,0.74,74,0,0.0,233919013.5
400143,德威5,1.03,1.03,1.03,1.03,7239,0,4.04,1401399580.51
400144,猛狮3,0.22,0.22,0.22,0.22,7635,0,0.0,124822365.58
400145,网力3,0.16,0.16,0.16,0.16,2565,0,0.0,191323602.56
