代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400002,长白5,2.63,2.63,2.63,2.63,190,499.7,-4.71,47,101,85343500.0,159376122.18
400005,R海国实1,0.27,0.27,0.27,0.27,3494,943.38,-3.57,0,7673,51172862.4,121856486.4
400008,水仙A3,1.35,1.35,1.35,1.35,88,118.8,0.0,23,254,36816503.4,319141350.0
400010,鹫峰3,0.73,0.73,0.73,0.73,112,81.76,0.0,30,322,22666500.0,98550000.0
400012,R国晟1,0.23,0.23,0.23,0.23,1626,373.98,0.0,7,1701,89336467.75,91752696.87
400016,R金田A1,0.32,0.32,0.32,0.32,238,76.16,-3.03,0,21029,99531559.68,128038491.52
400018,银化3,0.80,0.80,0.80,0.80,231,184.8,1.27,2,361,33592000.0,91480209.6
400021,华夏5,0.64,0.64,0.64,0.64,42,26.88,-4.48,0,153,235238400.0,235238400.0
400023,R新征程1,0.35,0.35,0.35,0.35,2850,997.5,2.94,1684,0,127657643.05,139551344.8
400025,宏业3,0.38,0.38,0.38,0.38,396,150.48,-2.56,0,372,28928640.0,42286400.0
400027,生态5,0.31,0.31,0.31,0.31,849,263.19,-3.13,0,7038,138258530.6,138272157.58
400028,R金马1,0.28,0.28,0.28,0.28,83,23.24,-3.45,0,11497,84234449.04,85923068.56
400030,R蓝璟1,0.77,0.77,0.77,0.77,36497,28102.69,-1.28,24284,16099,753100033.84,1026782892.52
400031,R鞍合成1,0.13,0.13,0.13,0.13,4235,550.55,8.33,15620,0,70218367.05,73113988.87
400035,R比特1,0.23,0.23,0.23,0.23,27122,6238.06,0.0,2613,49160,131889159.44,149427123.81
400036,天创5,0.30,0.30,0.30,0.30,7130,2139.0,-3.23,0,17802,102446773.5,111423770.1
400039,R华圣1,0.21,0.21,0.21,0.21,1435,301.35,0.0,18951,525,55910400.0,96309367.98
400040,中川3,0.50,0.50,0.50,0.50,241,120.5,-1.96,15,18518,28154301.0,82154301.0
400041,R数码1,0.34,0.34,0.34,0.34,207,70.38,-2.86,0,4784,37160472.04,98905336.32
400045,猴王3,0.13,0.13,0.13,0.13,11755,1528.15,0.0,9317,48462,109542018.17,110854224.26
400046,博嘉5,0.22,0.22,0.22,0.22,6271,1379.62,-4.35,249,17032,110209415.8,180972000.0
400051,精密3,0.26,0.26,0.26,0.26,925,240.5,-3.7,0,1309,63824660.38,67911012.0
400053,佳纸3,0.40,0.40,0.40,0.40,302,120.8,0.0,0,391,65638192.0,143778978.4
400055,国瓷5,0.24,0.24,0.24,0.24,5977,1434.48,4.35,4322,0,125764392.48,190605600.0
400057,海国油3,0.37,0.37,0.37,0.37,590,218.3,-2.63,226,5877,124827896.04,239763476.89
400059,天珑5,1.37,1.37,1.37,1.37,1398,1915.26,-3.52,2110,579,2571429565.19,2582063661.37
400065,亚美3,0.18,0.18,0.18,0.18,3317,597.06,0.0,1803,33602,258054914.7,258072953.04
400066,R鹍鹏1,0.15,0.15,0.15,0.15,2768,415.2,0.0,82,9740,64458005.25,64458005.25
400068,昆机5,3.00,3.00,3.00,3.00,822,2466.0,1.69,28,3719,1058364462.0,1058364462.0
400069,吉恩5,3.70,3.70,3.70,3.70,1358,5024.6,-4.88,0,1304,2899306450.6,2899318967.7
400070,烯碳3,0.11,0.11,0.11,0.11,3338,367.18,0.0,14415,37120,127030993.21,127031521.21
400071,R中弘1,0.14,0.14,0.14,0.14,82724,11581.36,-6.67,0,332515,1053817530.08,1174684167.86
400073,上普A5,4.76,4.76,4.76,4.76,134,637.84,-4.42,68,436,1225344604.12,1819392604.12
400078,R明瑞1,0.07,0.07,0.07,0.07,11992,839.44,0.0,36263,25170,66102987.93,102502987.93
400080,R华业1,0.09,0.09,0.09,0.09,21579,1942.11,0.0,10539,29367,128182824.0,128182824.0
400081,R保千里1,0.07,0.07,0.07,0.07,11544,808.08,-12.5,8773,28840,156381595.02,170652023.43
400082,华锐5,0.44,0.44,0.44,0.44,19630,8637.2,-2.22,60536,15890,2652812662.28,2653464000.0
400084,乐视网3,0.14,0.14,0.14,0.14,89257,12495.98,-6.67,0,61461,490360157.0,558521626.88
400088,美都3,0.10,0.10,0.10,0.10,7546,754.6,0.0,75996,93058,260308275.4,357648877.3
400089,盛运5,0.49,0.49,0.49,0.49,11902,5831.98,-2.0,12270,11542,1720745515.58,1720745515.58
400094,银鸽3,0.21,0.21,0.21,0.21,6215,1305.15,-4.55,22895,34493,364622921.67,364622924.82
400095,R雏鹰1,0.07,0.07,0.07,0.07,16219,1135.33,16.67,16507,60231,219187653.79,219461174.1
400097,R刚泰1,0.31,0.31,0.31,0.31,5217,1617.27,-3.13,0,50684,461501744.24,461501744.24
400098,航通5,4.18,4.18,4.18,4.18,678,2834.04,-1.18,77,2372,4383025697.38,4386170595.62
400099,宜生3,0.10,0.10,0.10,0.10,2905,290.5,0.0,6221,8123,109551001.2,148287000.4
400100,工新5,0.53,0.53,0.53,0.53,21088,11176.64,-3.64,0,25282,1561328391.78,2037890317.1
400104,R金钰1,0.08,0.08,0.08,0.08,11178,894.24,14.29,63415,45368,84547601.28,108000000.0
400108,R鹏起A1,0.07,0.07,0.07,0.07,3662,256.34,0.0,29843,13011,105802513.81,122694163.06
400110,天翔5,0.50,0.50,0.50,0.50,477,238.5,-1.96,54,3622,599410218.0,775733475.5
400113,R国动游1,0.12,0.12,0.12,0.12,3719,446.28,0.0,705,11302,39211200.0,39211244.88
400114,东北电3,0.21,0.21,0.21,0.21,3148,661.08,-4.55,3790,6712,129171205.38,183407700.0
400117,R中新1,0.07,0.07,0.07,0.07,6620,463.4,0.0,17114,9372,21006825.0,21010500.0
400118,R艾格1,0.10,0.10,0.10,0.10,56598,5659.8,-9.09,42589,21113,143995225.1,184489623.1
400119,西创5,1.00,1.00,1.00,1.00,5234,5234.0,-0.99,1151,9808,1093064378.0,1093064378.0
400120,绿庭A5,0.30,0.30,0.30,0.30,151,45.3,0.0,551,9208,108241575.6,210008211.3
400122,域潇5,2.19,2.19,2.19,2.19,1927,4220.13,-3.52,569,889,1485311633.1,1823620660.62
400123,昌鱼3,0.19,0.19,0.19,0.19,2648,503.12,-5.0,0,6479,96679075.22,96679075.22
400124,中房5,0.18,0.18,0.18,0.18,1880,338.4,0.0,1889,3523,104255086.5,104255086.5
400125,明科5,0.74,0.74,0.74,0.74,197,145.78,0.0,985,2624,323681826.76,323685267.76
400126,R华讯1,0.22,0.22,0.22,0.22,3184,700.48,0.0,860,11527,96709697.04,168563859.64
400128,罗顿5,0.56,0.56,0.56,0.56,495,277.2,-1.75,222,1055,245843104.64,245846254.64
400129,圣莱达3,0.16,0.16,0.16,0.16,1589,254.24,0.0,942,5856,25600000.0,25600000.0
400130,新光3,0.22,0.22,0.22,0.22,417,91.74,-4.35,0,12618,119382210.2,402176811.3
400131,科迪5,0.74,0.74,0.74,0.74,5635,4169.9,-1.33,1639,9352,811360134.36,1458363905.16
400132,易见3,0.16,0.16,0.16,0.16,3282,525.12,0.0,8823,14084,80234039.84,179591600.0
400133,R丹邦1,0.29,0.29,0.29,0.29,18295,5305.55,3.57,21135,0,148062284.58,158896800.0
400135,众应3,0.09,0.09,0.09,0.09,5663,509.67,0.0,6047,27529,46961494.92,46961494.92
400136,R世节1,0.61,0.61,0.61,0.61,3169,1933.09,1.67,0,8466,318873579.53,319151795.65
400137,R环球1,0.08,0.08,0.08,0.08,17394,1391.52,0.0,2700,34845,37597600.0,37597600.0
400138,欣盛5,0.60,0.60,0.60,0.60,633,379.8,0.0,970,1059,110891764.2,110891764.2
400139,R晨臻1,0.06,0.06,0.06,0.06,29818,1789.08,-14.29,75613,218330,85631580.0,85631580.0
400140,东海A5,0.70,0.70,0.70,0.70,582,407.4,0.0,2634,2303,188109460.0,254870000.0
400141,R数知1,0.07,0.07,0.07,0.07,12331,863.17,0.0,9701,67777,81459508.41,82027898.61
400142,宝德5,0.73,0.73,0.73,0.73,850,620.5,-2.67,391,950,188882572.5,230757945.75
400143,德威5,0.86,0.86,0.86,0.86,3673,3158.78,-4.44,0,10227,266122817.82,1170100620.62
400144,猛狮3,0.25,0.25,0.25,0.25,3525,881.25,0.0,2357,10515,119303804.75,141843597.25
400145,网力3,0.16,0.16,0.16,0.16,8577,1372.32,0.0,7436,44002,191011139.52,191323602.56
400146,聚龙5,0.33,0.33,0.33,0.33,6533,2155.89,-2.94,0,12741,126594095.43,181336320.0
400147,当代3,0.32,0.32,0.32,0.32,940,300.8,-3.03,0,42346,319365661.76,412673314.56
400148,R邦讯1,0.09,0.09,0.09,0.09,17195,1547.55,12.5,23422,0,28530225.0,28803600.0
