代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400002,长白5,2.83,2.83,2.83,2.83,76,215.08,-0.7,29,1572,91833500.0,171495979.38
400021,华夏5,0.62,0.62,0.62,0.62,647,401.14,0.0,250,52,227887200.0,227887200.0
400027,生态5,0.32,0.32,0.32,0.32,411,131.52,0.0,7,7065,142718483.2,142732549.76
400030,R蓝璟1,0.79,0.79,0.79,0.79,59209,46775.11,3.95,48240,0,772661073.68,1053452578.04
400035,R比特1,0.25,0.25,0.25,0.25,41613,10403.25,4.17,16114,0,143357782.0,162420786.75
400036,天创5,0.32,0.32,0.32,0.32,6307,2018.24,0.0,6507,3579,109276558.4,118852021.44
400046,博嘉5,0.23,0.23,0.23,0.23,1370,315.1,0.0,3773,8119,115218934.7,189198000.0
400055,国瓷5,0.24,0.24,0.24,0.24,418,100.32,4.35,1995,3075,125764392.48,190605600.0
400059,天珑5,1.40,1.40,1.40,1.40,744,1041.6,-0.71,5388,3149,2627738241.8,2638605201.4
400068,昆机5,2.92,2.92,2.92,2.92,532,1553.44,-4.89,0,878,1030141409.68,1030141409.68
400069,吉恩5,3.80,3.80,3.80,3.80,679,2580.2,0.0,26,1122,2977666084.4,2977678939.8
400073,上普A5,5.00,5.00,5.00,5.00,49,245.0,1.42,244,123,1287126685.0,1911126685.0
400082,华锐5,0.45,0.45,0.45,0.45,29491,13270.95,0.0,14730,16352,2713103859.15,2713770000.0
400089,盛运5,0.48,0.48,0.48,0.48,6127,2940.96,0.0,19832,10190,1685628260.16,1685628260.16
400098,航通5,4.28,4.28,4.28,4.28,2156,9227.68,0.0,49,2697,4487882771.48,4491102906.52
400100,工新5,0.60,0.60,0.60,0.60,11954,7172.4,-4.76,0,29641,1767541575.6,2307045642.0
400110,天翔5,0.51,0.51,0.51,0.51,405,206.55,4.08,4036,1673,611398422.36,791248145.01
400119,西创5,1.00,1.00,1.00,1.00,4179,4179.0,-0.99,2651,4547,1093064378.0,1093064378.0
400120,绿庭A5,0.30,0.30,0.30,0.30,761,228.3,-3.23,2016,3655,108241575.6,210008211.3
400122,域潇5,2.30,2.30,2.30,2.30,4470,10281.0,1.32,853,2256,1559916327.0,1915218045.4
400124,中房5,0.18,0.18,0.18,0.18,1748,314.64,0.0,13406,3978,104255086.5,104255086.5
400125,明科5,0.73,0.73,0.73,0.73,862,629.26,-2.67,2522,380,319307748.02,319311142.52
400128,罗顿5,0.58,0.58,0.58,0.58,353,204.74,3.57,51,3002,254623215.52,254626478.02
400131,科迪5,0.79,0.79,0.79,0.79,3068,2423.72,1.28,6893,17820,866181765.06,1556902006.86
400138,欣盛5,0.61,0.61,0.61,0.61,42,25.62,1.67,642,1985,112739960.27,112739960.27
400140,东海A5,0.70,0.70,0.70,0.70,464,324.8,0.0,3073,906,188109460.0,254870000.0
400142,宝德5,0.75,0.75,0.75,0.75,136,102.0,2.74,2034,648,194057437.5,237080081.25
400143,德威5,0.92,0.92,0.92,0.92,10431,9596.52,-4.17,0,2832,284689526.04,1251735547.64
400146,聚龙5,0.35,0.35,0.35,0.35,2078,727.3,2.94,471,7294,134266464.85,192326400.0
400149,金泰5,0.59,0.59,0.59,0.59,351,207.09,0.0,350,5709,87383217.32,87383217.32
400151,天首5,0.96,0.96,0.96,0.96,252,241.92,-2.04,2,387,308889836.16,308949141.12
400163,计通5,1.72,1.72,1.72,1.72,1672,2875.84,1.18,197,4316,288881875.88,288960000.0
400170,运盛5,0.32,0.32,0.32,0.32,828,264.96,0.0,75,2069,73889028.16,109123258.24
400177,阳竹5,1.70,1.70,1.70,1.70,871,1480.7,-0.58,579,399,459463760.0,459463760.0
400192,宋都5,0.21,0.21,0.21,0.21,2197,461.37,0.0,18163,2631,155433664.68,281425688.46
400201,海投5,0.46,0.46,0.46,0.46,11120,5115.2,-2.13,4610,16241,656051763.1,657907835.5
400208,金鹤5,0.24,0.24,0.24,0.24,15265,3663.6,-4.0,21807,35052,296484997.92,377161285.92
400210,博天5,0.59,0.59,0.59,0.59,1606,947.54,0.0,1002,4813,495684206.57,569816572.59
400212,民生5,0.86,0.86,0.86,0.86,161,138.46,1.18,562,362,457409484.84,457409484.84
400215,商业城5,3.41,3.41,3.41,3.41,1631,5561.71,4.92,31,11712,1278557328.18,1460890372.59
400216,中资5,0.39,0.39,0.39,0.39,434,169.26,0.0,281,3737,134550000.0,134550000.0
400219,碳元5,0.39,0.39,0.39,0.39,2767,1079.13,2.63,2163,742,66998367.15,81582228.0
400220,同达5,2.82,2.82,2.82,2.82,4014,11319.48,0.36,345,491,392384811.0,392384811.0
400224,苏阳光5,0.19,0.19,0.19,0.19,3721,706.99,0.0,37476,25059,219461185.68,338834661.94
