代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),总市值(元)
400002,长白5,2.88,2.88,2.88,2.88,41,118.08,-1.71,68,241,174525943.68
400021,华夏5,0.65,0.65,0.65,0.65,100,65.0,-1.52,96,262,238914000.0
400027,生态5,0.33,0.33,0.33,0.33,2531,835.23,3.13,8,4456,147192941.94
400030,R蓝璟1,0.84,0.84,0.84,0.84,71617,60158.28,5.0,39412,0,1120126791.84
400035,R比特1,0.26,0.26,0.26,0.26,15684,4077.84,-3.7,0,116708,168917618.22
400036,天创5,0.34,0.34,0.34,0.34,4556,1549.04,0.0,1839,21455,126280272.78
400046,博嘉5,0.23,0.23,0.23,0.23,1038,238.74,0.0,4614,14909,189198000.0
400055,国瓷5,0.25,0.25,0.25,0.25,1336,334.0,0.0,2724,12999,198547500.0
400059,天珑5,1.36,1.36,1.36,1.36,1514,2059.04,0.0,838,2022,2563216481.36
400068,昆机5,3.11,3.11,3.11,3.11,498,1548.78,4.71,1723,0,1097171158.94
400069,吉恩5,3.83,3.83,3.83,3.83,1099,4209.17,-1.54,389,283,3001186931.43
400073,上普A5,4.60,4.60,4.60,4.60,30,138.0,0.44,108,949,1758236550.2
400082,华锐5,0.46,0.46,0.46,0.46,17831,8202.26,0.0,45739,7056,2774076000.0
400089,盛运5,0.48,0.48,0.48,0.48,17500,8400.0,-4.0,9511,6908,1685628260.16
400098,航通5,4.29,4.29,4.29,4.29,799,3427.71,2.63,117,2786,4501596137.61
400100,工新5,0.63,0.63,0.63,0.63,2712,1708.56,-3.08,3820,2311,2422397924.1
400110,天翔5,0.49,0.49,0.49,0.49,2680,1313.2,-3.92,0,1426,760218805.99
400119,西创5,1.03,1.03,1.03,1.03,3087,3179.61,0.0,573,8920,1125856309.34
400120,绿庭A5,0.30,0.30,0.30,0.30,1562,468.6,-3.23,349,3343,210008211.3
400122,域潇5,2.25,2.25,2.25,2.25,1556,3501.0,-2.17,4973,357,1873582870.5
400124,中房5,0.19,0.19,0.19,0.19,502,95.38,0.0,4075,6198,110047035.75
400125,明科5,0.76,0.76,0.76,0.76,74,56.24,2.7,1660,7491,332433518.24
400128,罗顿5,0.54,0.54,0.54,0.54,226,122.04,-3.57,652,2367,237066031.26
400131,科迪5,0.80,0.80,0.80,0.80,5488,4390.4,1.27,1549,15330,1576609627.2
400138,欣盛5,0.61,0.61,0.61,0.61,87,53.07,1.67,1072,2526,112739960.27
400140,东海A5,0.69,0.69,0.69,0.69,2390,1649.1,0.0,2478,2665,251229000.0
400142,宝德5,0.74,0.74,0.74,0.74,300,222.0,-1.33,2258,943,233919013.5
400143,德威5,0.97,0.97,0.97,0.97,5724,5552.28,0.0,4583,3540,1319764653.49
400146,聚龙5,0.35,0.35,0.35,0.35,2892,1012.2,0.0,138,6898,192326400.0
400149,金泰5,0.58,0.58,0.58,0.58,285,165.3,-1.69,1328,1101,85902145.84
400151,天首5,0.99,0.99,0.99,0.99,153,151.47,-1.0,373,230,318603801.78
400163,计通5,1.63,1.63,1.63,1.63,497,810.11,1.87,1163,4929,273840000.0
400170,运盛5,0.33,0.33,0.33,0.33,538,177.54,0.0,5038,2597,112533360.06
400177,阳竹5,1.77,1.77,1.77,1.77,1976,3497.52,2.91,3349,689,478382856.0
400192,宋都5,0.21,0.21,0.21,0.21,7790,1635.9,0.0,23179,4565,281425688.46
400201,海投5,0.48,0.48,0.48,0.48,4310,2068.8,-2.04,8471,20321,686512524.0
400208,金鹤5,0.24,0.24,0.24,0.24,39248,9419.52,-4.0,0,91236,377161285.92
