代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),总市值(元)
400210,博天5,0.55,0.55,0.55,0.55,1273,700.15,0.0,1370,1057,531184940.55
400212,民生5,0.86,0.86,0.86,0.86,1940,1668.4,-2.27,168,4582,457409484.84
400215,商业城5,3.09,3.09,3.09,3.09,3980,12298.2,-4.63,1777,48,1323798020.91
400216,中资5,0.38,0.38,0.38,0.38,295,112.1,0.0,1382,2417,131100000.0
400219,碳元5,0.36,0.36,0.36,0.36,3374,1214.64,2.86,5343,0,75306672.0
400220,同达5,2.77,2.77,2.77,2.77,690,1911.3,0.0,226,360,385427633.5
400224,苏阳光5,0.19,0.19,0.19,0.19,6397,1215.43,0.0,33721,21766,338834661.94
400227,利能5,0.66,0.66,0.66,0.66,39182,25860.12,4.76,160704,0,2350010648.04
400232,左江5,2.27,2.27,2.27,2.27,1727,3920.29,-4.62,0,1039,231608100.0
400236,中银5,0.42,0.42,0.42,0.42,91157,38285.94,0.0,51494,45652,1783440933.96
400237,天通5,0.96,0.96,0.96,0.96,18678,17930.88,4.35,69320,0,1160117015.04
400247,航高5,0.40,0.40,0.40,0.40,42831,17132.4,2.56,23818,0,1001577170.0
400250,鼎龙5,0.32,0.32,0.32,0.32,7713,2468.16,0.0,4938,6220,294398284.48
400251,海印5,0.27,0.27,0.27,0.27,27663,7469.01,0.0,82785,79464,677496084.39
400256,鹏都5,0.17,0.17,0.17,0.17,21548,3663.16,0.0,73665,40825,1083624384.96
400260,大药5,0.57,0.57,0.57,0.57,10375,5913.75,-5.0,1147,3717,125229000.0
400270,龙津5,0.49,0.49,0.49,0.49,1963,961.87,0.0,2368,2283,196245000.0
400271,龙宇5,3.53,3.53,3.53,3.53,4137,14603.61,4.75,727,0,1328315469.02
400289,德邦5,10.83,10.83,10.83,10.83,33,357.39,4.94,195,0,10955286714.21
420063,武锅B5,0.070,0.070,0.070,0.070,664,46.48,-4.11,0,1137,20790000.0
420073,上普B5,0.225,0.225,0.225,0.225,67,15.08,0.0,240,14,86000700.83
420085,东沣B5,0.019,0.019,0.019,0.019,1,0.02,5.56,11074,1,11952774.9
420120,绿庭B5,0.018,0.018,0.018,0.018,236,4.25,0.0,3856,618,12600492.68
420140,东海B5,0.046,0.046,0.046,0.046,125,5.75,-4.17,0,62,16748600.0
420273,凌云B5,0.056,0.056,0.056,0.056,292,16.35,-1.75,660,2787,19544000.0
