代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),总市值(元)
400002,长白5,3.030,3.030,3.030,3.030,69.000,209.07,2.02,58,103,183615836.58
400005,R海国实1,0.29,0.29,0.29,0.29,1570,455.3,0.0,100,3195,130882892.8
400008,水仙A3,1.350,1.350,1.350,1.350,30.000,40.5,-3.57,84,132,319141350.0
400010,鹫峰3,0.660,0.660,0.660,0.660,212.000,139.92,0.0,446,1109,89100000.0
400012,R国晟1,0.22,0.22,0.22,0.22,1741,383.02,0.0,53,450,87763449.18
400016,R金田A1,0.340,0.340,0.340,0.340,4338.000,1474.92,3.03,7634,0,136040897.24
400018,银化3,0.820,0.820,0.820,0.820,244.000,200.08,0.0,6,0,93767214.84
400021,华夏5,0.650,0.650,0.650,0.650,131.000,85.15,0.0,327,681,238914000.0
400023,R新征程1,0.350,0.350,0.350,0.350,1898.000,664.3,0.0,21,1632,139551344.8
400025,宏业3,0.340,0.340,0.340,0.340,478.000,162.52,3.03,776,0,37835200.0
400027,生态5,0.290,0.290,0.290,0.290,482.000,139.78,3.57,594,7859,129351373.22
400028,R金马1,0.300,0.300,0.300,0.300,374.000,112.2,0.0,0,9812,92060430.6
400029,R大通1,0.00,0.00,0.00,3.00,0,0.0,0.0,0,0,0.0
400030,R蓝璟1,0.710,0.710,0.710,0.710,1519.000,1078.49,4.41,684902,0,946773835.96
400031,R鞍合成1,0.120,0.120,0.120,0.120,548.000,65.76,0.0,26617,0,67489835.88
400033,R斯达1,0.00,0.00,0.00,0.77,0,0.0,0.0,0,0,0.0
400035,R比特1,0.300,0.300,0.300,0.300,18835.000,5650.5,-3.23,0,321658,194904944.1
400036,天创5,0.350,0.350,0.350,0.350,4053.000,1418.55,2.94,6361,9306,129994398.45
400039,R华圣1,0.22,0.22,0.22,0.22,4130,908.6,-4.35,481,684,100895528.36
400040,中川3,0.530,0.530,0.530,0.530,194.000,102.82,1.92,715,94,87083559.06
400041,R数码1,0.36,0.36,0.36,0.36,398,143.28,-2.7,0,2134,104723297.28
400045,猴王3,0.130,0.130,0.130,0.130,51524.000,6698.12,-7.14,0,41241,110854224.26
400046,博嘉5,0.230,0.230,0.230,0.230,1794.000,412.62,0.0,10483,8586,189198000.0
400050,R龙涤1,0.00,0.00,0.00,2.41,0,0.0,0.0,0,0,0.0
400051,精密3,0.260,0.260,0.260,0.260,1306.000,339.56,-3.7,1029,1040,67911012.0
400053,佳纸3,0.360,0.360,0.360,0.360,347.000,124.92,2.86,1494,0,129401080.56
400055,国瓷5,0.250,0.250,0.250,0.250,999.000,249.75,0.0,912,4527,198547500.0
400057,海国油3,0.390,0.390,0.390,0.390,110.000,42.9,-2.5,196,5921,252723664.83
400059,天珑5,1.440,1.440,1.440,1.440,1799.000,2590.56,1.41,1462,1675,2713993921.44
400065,亚美3,0.180,0.180,0.180,0.180,2488.000,447.84,5.88,15902,0,258072953.04
400066,R鹍鹏1,0.15,0.15,0.15,0.15,10833,1624.95,-6.25,0,31043,64458005.25
400067,R欣泰1,0.00,0.00,0.00,1.12,0,0.0,0.0,0,0,0.0
400068,昆机5,2.720,2.720,2.720,2.720,457.000,1243.04,2.64,58,126,959583778.88
400069,吉恩5,3.930,3.930,3.930,3.930,1951.000,7667.43,4.8,212,127,3079546903.53
400070,烯碳3,0.110,0.110,0.110,0.110,8442.000,928.62,0.0,8138,18500,127031521.21
400071,R中弘1,0.140,0.140,0.140,0.140,152222.000,21311.08,0.0,89066,0,1174684167.86
400073,上普A5,4.760,4.760,4.760,4.760,98.000,466.48,-4.61,14,913,1819392604.12
400078,R明瑞1,0.07,0.07,0.07,0.07,10328,722.96,0.0,14204,15988,102502987.93
400080,R华业1,0.090,0.090,0.090,0.090,27456.000,2471.04,0.0,38001,0,128182824.0
400081,R保千里1,0.08,0.08,0.08,0.08,11528,922.24,0.0,8114,33278,195030883.92
400082,华锐5,0.500,0.500,0.500,0.500,22120.000,11060.0,4.17,7966,11773,3015300000.0
400084,乐视网3,0.170,0.170,0.170,0.170,44842.000,7623.14,6.25,31749,23056,678204832.64
400088,美都3,0.100,0.100,0.100,0.100,31856.000,3185.6,0.0,69231,47066,357648877.3
400089,盛运5,0.500,0.500,0.500,0.500,16599.000,8299.5,4.17,5138,5481,1755862771.0
400094,银鸽3,0.220,0.220,0.220,0.220,7422.000,1632.84,0.0,17402,29575,381985921.24
400095,R雏鹰1,0.06,0.06,0.06,0.06,13505,810.3,0.0,27882,29997,188109577.8
400096,凯迪5,0.00,0.00,0.00,0.15,0,0.0,0.0,0,0,0.0
400097,R刚泰1,0.310,0.310,0.310,0.310,33826.000,10486.06,-3.13,3492,2207,461501744.24
400098,航通5,4.360,4.360,4.360,4.360,1581.000,6893.16,4.56,561,442,4575048755.24
400099,宜生3,0.110,0.110,0.110,0.110,4484.000,493.24,0.0,13464,10041,163115700.44
400100,工新5,0.650,0.650,0.650,0.650,8914.000,5794.1,-4.41,10830,4702,2499299445.5
400101,秋林3,0.00,0.00,0.00,0.38,0,0.0,0.0,0,0,0.0
400104,R金钰1,0.080,0.080,0.080,0.080,12028.000,962.24,0.0,48924,75340,108000000.0
400108,R鹏起A1,0.07,0.07,0.07,0.07,8817,617.19,0.0,47523,26950,122694163.06
400110,天翔5,0.490,0.490,0.490,0.490,974.000,477.26,4.26,3562,4048,760218805.99
400113,R国动游1,0.12,0.12,0.12,0.12,6921,830.52,9.09,2084,6622,39211244.88
400114,东北电3,0.230,0.230,0.230,0.230,2029.000,466.67,4.55,3226,1708,200875100.0
400117,R中新1,0.07,0.07,0.07,0.07,8173,572.11,16.67,60437,0,21010500.0
400118,R艾格1,0.10,0.10,0.10,0.10,52092,5209.2,0.0,70259,19506,184489623.1
