代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400002,长白5,2.760,2.760,2.760,2.760,93,256.68,-7.38,,,,167254029.36
400021,华夏5,0.670,0.670,0.670,0.670,254,170.18,3.08,,,,246265200.0
400027,生态5,0.320,0.320,0.320,0.320,486,155.52,14.29,,,,142732549.76
400030,R蓝璟1,0.780,0.780,0.780,0.780,20226,15776.28,14.71,,,,1040117735.28
400035,R比特1,0.230,0.230,0.230,0.230,29617,6811.91,-25.81,,,,149427123.81
400036,天创5,0.310,0.310,0.310,0.310,5555,1722.05,-6.06,,,,115137895.77
400046,博嘉5,0.230,0.230,0.230,0.230,2673,614.79,0.0,,,,189198000.0
400055,国瓷5,0.230,0.230,0.230,0.230,1433,329.59,-8.0,,,,182663700.0
400059,天珑5,1.420,1.420,1.420,1.420,2538,3603.96,-1.39,,,,2676299561.42
400068,昆机5,2.950,2.950,2.950,2.950,1070,3156.5,12.17,,,,1040725054.3
400069,吉恩5,3.890,3.890,3.890,3.890,1182,4597.98,3.73,,,,3048202914.69
400073,上普A5,4.980,4.980,4.980,4.980,98,488.04,-2.35,,,,1903482178.26
400082,华锐5,0.450,0.450,0.450,0.450,25302,11385.9,-2.17,,,,2713770000.0
400089,盛运5,0.500,0.500,0.500,0.500,4265,2132.5,6.38,,,,1755862771.0
400098,航通5,4.230,4.230,4.230,4.230,1173,4961.79,0.71,,,,4438636751.07
400100,工新5,0.550,0.550,0.550,0.550,13345,7339.75,-20.29,,,,2114791838.5
400110,天翔5,0.510,0.510,0.510,0.510,195,99.45,8.51,,,,791248145.01
400119,西创5,1.010,1.010,1.010,1.010,6036,6096.36,-6.48,,,,1103995021.78
400120,绿庭A5,0.300,0.300,0.300,0.300,2555,766.5,3.45,,,,210008211.3
400122,域潇5,2.270,2.270,2.270,2.270,3487,7915.49,0.0,,,,1890236940.46
400124,中房5,0.180,0.180,0.180,0.180,1952,351.36,-5.26,,,,104255086.5
400125,明科5,0.740,0.740,0.740,0.740,4,2.96,-1.33,,,,323685267.76
400128,罗顿5,0.570,0.570,0.570,0.570,18,10.26,-5.0,,,,250236366.33
400131,科迪5,0.750,0.750,0.750,0.750,9085,6813.75,-2.6,,,,1478071525.5
400138,欣盛5,0.600,0.600,0.600,0.600,762,457.2,3.45,,,,110891764.2
400140,东海A5,0.700,0.700,0.700,0.700,476,333.2,0.0,,,,254870000.0
