代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),总市值(元)
400008,水仙A3,1.410,1.410,1.410,1.410,141.000,198.81,4.44,58,84,333325410.0
400010,鹫峰3,0.670,0.670,0.670,0.670,58.000,38.86,1.52,237,0,90450000.0
400016,R金田A1,0.350,0.350,0.350,0.350,4085.000,1429.75,2.94,5041,0,140042100.1
400018,银化3,0.780,0.780,0.780,0.780,139.000,108.42,-4.88,0,181,89193204.36
400021,华夏5,0.670,0.670,0.670,0.670,105.000,70.35,3.08,29,639,246265200.0
400025,宏业3,0.350,0.350,0.350,0.350,43.000,15.05,2.94,352,0,38948000.0
400027,生态5,0.300,0.300,0.300,0.300,1092.000,327.6,3.45,1728,916,133811765.4
400030,R蓝璟1,0.740,0.740,0.740,0.740,1484.000,1098.16,4.23,265821,0,986778364.24
400035,R比特1,0.290,0.290,0.290,0.290,6217.000,1802.93,-3.33,0,302432,188408112.63
400036,天创5,0.340,0.340,0.340,0.340,6985.000,2374.9,-2.86,2420,20982,126280272.78
400040,中川3,0.530,0.530,0.530,0.530,122.000,64.66,0.0,375,178,87083559.06
400045,猴王3,0.130,0.130,0.130,0.130,15131.000,1967.03,0.0,31967,28319,110854224.26
400046,博嘉5,0.240,0.240,0.240,0.240,928.000,222.72,4.35,5572,9561,197424000.0
400051,精密3,0.260,0.260,0.260,0.260,720.000,187.2,0.0,720,947,67911012.0
400053,佳纸3,0.370,0.370,0.370,0.370,849.000,314.13,2.78,24,25,132995555.02
400055,国瓷5,0.240,0.240,0.240,0.240,829.000,198.96,-4.0,1212,3320,190605600.0
400057,海国油3,0.390,0.390,0.390,0.390,728.000,283.92,0.0,324,2166,252723664.83
400059,天珑5,1.430,1.430,1.430,1.430,1222.000,1747.46,-0.69,276,3177,2695146741.43
400065,亚美3,0.190,0.190,0.190,0.190,3976.000,755.44,5.56,1845,0,272410339.32
400068,昆机5,2.700,2.700,2.700,2.700,566.000,1528.2,-0.74,726,463,952528015.8
400069,吉恩5,4.000,4.000,4.000,4.000,2164.000,8656.0,1.78,132,957,3134398884.0
400070,烯碳3,0.110,0.110,0.110,0.110,6632.000,729.52,0.0,19236,40484,127031521.21
400073,上普A5,4.810,4.810,4.810,4.810,30.000,144.3,1.05,83,3,1838503870.97
400082,华锐5,0.480,0.480,0.480,0.480,29464.000,14142.72,-4.0,8452,9636,2894688000.0
400084,乐视网3,0.160,0.160,0.160,0.160,51274.000,8203.84,-5.88,22122,32707,638310430.72
400088,美都3,0.100,0.100,0.100,0.100,19250.000,1925.0,0.0,49806,60498,357648877.3
400089,盛运5,0.520,0.520,0.520,0.520,22706.000,11807.12,4.0,9184,0,1826097281.84
400094,银鸽3,0.220,0.220,0.220,0.220,4587.000,1009.14,0.0,15918,43601,381985921.24
400097,R刚泰1,0.320,0.320,0.320,0.320,12117.000,3877.44,3.23,11517,0,476388897.28
400098,航通5,4.240,4.240,4.240,4.240,1074.000,4553.76,-2.75,156,2175,4449129982.16
400099,宜生3,0.110,0.110,0.110,0.110,1364.000,150.04,0.0,12321,9759,163115700.44
400100,工新5,0.620,0.620,0.620,0.620,9737.000,6036.94,-4.62,0,530,2383947163.4
400110,天翔5,0.510,0.510,0.510,0.510,265.000,135.15,4.08,1478,3932,791248145.01
400114,东北电3,0.230,0.230,0.230,0.230,6286.000,1445.78,0.0,7044,6760,200875100.0
400119,西创5,1.050,1.050,1.050,1.050,2225.000,2336.25,0.0,516,4681,1147717596.9
400120,绿庭A5,0.300,0.300,0.300,0.300,4074.000,1222.2,3.45,11120,0,210008211.3
400122,域潇5,2.350,2.350,2.350,2.350,2184.000,5132.4,-1.67,26,1432,1956853220.3
400123,昌鱼3,0.170,0.170,0.170,0.170,1537.000,261.29,-5.56,3066,2557,86502330.46
400124,中房5,0.190,0.190,0.190,0.190,492.000,93.48,0.0,16400,4398,110047035.75
400125,明科5,0.760,0.760,0.760,0.760,402.000,305.52,1.33,410,17669,332433518.24
400128,罗顿5,0.570,0.570,0.570,0.570,2457.000,1400.49,0.0,2044,1713,250236366.33
400129,圣莱达3,0.170,0.170,0.170,0.170,1770.000,300.9,0.0,855,5836,27200000.0
400130,新光3,0.220,0.220,0.220,0.220,2731.000,600.82,-4.35,0,12771,402176811.3
400131,科迪5,0.810,0.810,0.810,0.810,1685.000,1364.85,0.0,1464,4426,1596317247.54
400132,易见3,0.150,0.150,0.150,0.150,1645.000,246.75,0.0,5626,10523,168367125.0
400135,众应3,0.100,0.100,0.100,0.100,5854.000,585.4,11.11,14284,25091,52179438.8
400138,欣盛5,0.620,0.620,0.620,0.620,190.000,117.8,0.0,1832,1894,114588156.34
400140,东海A5,0.730,0.730,0.730,0.730,4712.000,3439.76,4.29,14007,0,265793000.0
400142,宝德5,0.750,0.750,0.750,0.750,97.000,72.75,0.0,1272,355,237080081.25
400143,德威5,1.000,1.000,1.000,1.000,9135.000,9135.0,-4.76,4252,4947,1360582117.0
400144,猛狮3,0.220,0.220,0.220,0.220,2424.000,533.28,-4.35,3470,3610,124822365.58
400145,网力3,0.160,0.160,0.160,0.160,7091.000,1134.56,-5.88,0,30026,191323602.56
400146,聚龙5,0.340,0.340,0.340,0.340,3281.000,1115.54,-2.86,1157,11041,186831360.0
400147,当代3,0.350,0.350,0.350,0.350,45449.000,15907.15,-2.78,0,31957,451361437.8
400149,金泰5,0.600,0.600,0.600,0.600,184.000,110.4,1.69,326,1171,88864288.8
400151,天首5,1.020,1.020,1.020,1.020,101.000,103.02,2.0,487,462,328258462.44
400153,海创A3,0.300,0.300,0.300,0.300,10887.000,3266.1,0.0,10261,16781,391050000.0
400160,荣华3,0.270,0.270,0.270,0.270,3537.000,954.99,3.85,6537,532,179712000.0
400161,金洲3,0.120,0.120,0.120,0.120,36387.000,4366.44,0.0,24556,111247,254849919.6
400165,蓝光3,0.060,0.060,0.060,0.060,53416.000,3204.96,20.0,372219,190615,182095826.1
400166,宜康3,0.110,0.110,0.110,0.110,2350.000,258.5,10.0,14727,37553,96546731.27
400167,未来3,0.150,0.150,0.150,0.150,4810.000,721.5,0.0,44475,13809,77409858.0
400169,江科宏3,0.190,0.190,0.190,0.190,756.000,143.64,0.0,16024,7946,220069086.5
400170,运盛5,0.330,0.330,0.330,0.330,1101.000,363.33,0.0,2465,1606,112533360.06
400173,银河3,0.300,0.300,0.300,0.300,909.000,272.7,3.45,24216,0,329973528.6
400176,奇信3,0.150,0.150,0.150,0.150,498.000,74.7,-6.25,6181,22108,33750000.0
400177,阳竹5,1.700,1.700,1.700,1.700,830.000,1411.0,3.03,1188,632,459463760.0
400179,顺利3,0.150,0.150,0.150,0.150,2021.000,303.15,0.0,8504,12863,114869902.95
400186,美置3,0.070,0.070,0.070,0.070,38745.000,2712.15,0.0,32764,124230,171089648.31
400189,广文城3,0.090,0.090,0.090,0.090,3422.000,307.98,0.0,17279,38570,43295118.3
400191,粤泰3,0.090,0.090,0.090,0.090,10071.000,906.39,0.0,89273,24511,228262308.3
400192,宋都5,0.220,0.220,0.220,0.220,7113.000,1564.86,-4.35,9327,10997,294826911.72
400193,嘉凯城3,0.060,0.060,0.060,0.060,49843.000,2990.58,0.0,273145,475708,108251490.0
400195,泰禾3,0.060,0.060,0.060,0.060,68010.000,4080.6,0.0,102251,174554,149334086.4
400197,天润3,0.110,0.110,0.110,0.110,7226.000,794.86,0.0,28052,21655,166160172.53
400199,阳光城3,0.060,0.060,0.060,0.060,31072.000,1864.32,20.0,328852,368554,248422977.0
400201,海投5,0.490,0.490,0.490,0.490,2210.000,1082.9,0.0,16162,11395,700814868.25
400204,柏龙3,0.090,0.090,0.090,0.090,6014.000,541.26,0.0,42918,66911,48419019.54
400205,泛海3,0.120,0.120,0.120,0.120,59122.000,7094.64,9.09,95709,36236,623544078.72
400208,金鹤5,0.260,0.260,0.260,0.260,12964.000,3370.64,0.0,111541,45742,408591393.08
400209,新海宜3,0.090,0.090,0.090,0.090,16334.000,1470.06,-10.0,36894,131877,123720265.44
400210,博天5,0.570,0.570,0.570,0.570,2899.000,1652.43,-3.39,0,3776,550500756.57
400212,民生5,0.910,0.910,0.910,0.910,705.000,641.55,-2.15,458,7866,484003059.54
400214,世茂3,0.240,0.240,0.240,0.240,1962.000,470.88,0.0,4558,26875,900280382.64
400215,商业城5,2.950,2.950,2.950,2.950,2743.000,8091.85,-3.59,24231,160,1263820117.05
400216,中资5,0.380,0.380,0.380,0.380,561.000,213.18,0.0,2617,2595,131100000.0
400217,正源3,0.110,0.110,0.110,0.110,9417.000,1035.87,0.0,50100,27544,166160500.0
