代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),流通市值(元),总市值(元)
400287,R东方通1,1.64,1.64,1.64,1.64,28221,46282.44,4.46,6401,0,846554580,914993438
400288,奥维3,0.30,0.30,0.30,0.30,6357,1907.1,-3.23,0,321031,83016680,104055005
400289,德邦5,11.37,11.37,11.37,11.37,35,397.95,4.99,134,0,11501533697,11501533697
400290,R长药1,0.15,0.15,0.15,0.15,24275,3641.25,-6.25,0,256025,41434689,52550417
400291,立方3,0.18,0.18,0.18,0.18,62384,11229.12,-5.26,0,165450,63872505,115507155
420008,水仙B3,0.026,0.026,0.026,0.026,50,1.3,4.0,1602,30,2860000,6146426
420016,R金田B1,0.015,0.015,0.015,0.015,106,1.59,0.0,12,3688,1336262,6001804
420073,上普B5,0.227,0.227,0.227,0.227,29,6.58,0.89,241,0,28329600,86765151
420108,R鹏起B1,0.011,0.011,0.011,0.011,110,1.21,-8.33,0,1710,2654147,19280511
420120,绿庭B5,0.018,0.018,0.018,0.018,40,0.72,0.0,5502,350,6105998,12600493
420140,东海B5,0.048,0.048,0.048,0.048,42,2.02,4.35,429,0,4224000,17476800
420153,海创B3,0.028,0.028,0.028,0.028,20,0.56,0.0,814,842,9240000,36498000
420178,山航B3,0.214,0.214,0.214,0.214,4,0.86,-4.04,197,441,29960000,85600000
420223,凯马B3,0.029,0.029,0.029,0.029,471,13.66,-3.33,2036,540,17388958,18560000
420244,建车B3,0.261,0.261,0.261,0.261,43,11.22,0.0,90,830,7830000,31156875
420254,R旭电B1,0.016,0.016,0.016,0.016,1336,21.38,6.67,5646,0,4000000,90123999
420273,凌云B5,0.056,0.056,0.056,0.056,400,22.4,0.0,700,1986,17243520,19544000
