代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),总市值(元)
400002,长白5,2.94,2.94,2.94,2.94,77,22638.00,5.0,178161900.84
400021,华夏5,0.64,0.64,0.64,0.64,971,0,4.92,235238400.0
400027,生态5,0.28,0.28,0.28,0.28,1786,0,-3.45,124890981.04
400036,天创5,0.33,0.33,0.33,0.33,1429,0,0.0,122566147.11
400046,博嘉5,0.23,0.23,0.23,0.23,4847,0,0.0,189198000.0
400055,国瓷5,0.24,0.24,0.24,0.24,2080,0,4.35,190605600.0
400059,天珑5,1.51,1.51,1.51,1.51,7211,0,4.86,2845924181.51
400068,昆机5,2.63,2.63,2.63,2.63,681,0,1.94,927832845.02
400069,吉恩5,3.66,3.66,3.66,3.66,1584,0,4.57,2867974978.86
400073,上普A5,5.1,5.1,5.1,5.1,92,0,0.0,1949349218.7
400082,华锐5,0.44,0.44,0.44,0.44,79874,0,-4.35,2653464000.0
400089,盛运5,0.48,0.48,0.48,0.48,10042,0,2.13,1685628260.16
400098,航通5,4.18,4.18,4.18,4.18,1276,0,0.24,4386170595.62
400100,工新5,0.66,0.66,0.66,0.66,11523,0,-4.35,2537750206.2
400110,天翔5,0.47,0.47,0.47,0.47,3219,0,0.0,729189466.97
400119,西创5,1.05,1.05,1.05,1.05,8239,0,-2.78,1147717596.9
400120,绿庭A5,0.29,0.29,0.29,0.29,7178,0,3.57,203007937.59
400122,域潇5,2.27,2.27,2.27,2.27,3111,0,0.89,1890236940.46
400124,中房5,0.19,0.19,0.19,0.19,265,0,0.0,110047035.75
400125,明科5,0.75,0.75,0.75,0.75,147,0,0.0,328059393.0
400128,罗顿5,0.62,0.62,0.62,0.62,852,0,3.33,272186924.78
400131,科迪5,0.77,0.77,0.77,0.77,4543,0,2.67,1517486766.18
400138,欣盛5,0.56,0.56,0.56,0.56,1143,0,-3.45,103498979.92
400140,东海A5,0.68,0.68,0.68,0.68,1384,0,-1.45,247588000.0
400142,宝德5,0.74,0.74,0.74,0.74,38,0,0.0,233919013.5
400143,德威5,1.03,1.03,1.03,1.03,1240,0,0.0,1401399580.51
400146,聚龙5,0.35,0.35,0.35,0.35,2872,100520.00,0.0,192326400.0
400149,金泰5,0.59,0.59,0.59,0.59,573,0,1.72,87383217.32
400151,天首5,1.0,1.0,1.0,1.0,104,0,1.01,321822022.0
400163,计通5,1.54,1.54,1.54,1.54,1140,0,0.0,258720000.0
400170,运盛5,0.32,0.32,0.32,0.32,3376,0,-3.03,109123258.24
400177,阳竹5,1.76,1.76,1.76,1.76,3379,0,2.33,475680128.0
400192,宋都5,0.23,0.23,0.23,0.23,5125,0,0.0,308228134.98
400201,海投5,0.48,0.48,0.48,0.48,5075,243599.52,0.0,686512524.0
400208,金鹤5,0.25,0.25,0.25,0.25,33353,0,0.0,392876339.5
400210,博天5,0.59,0.59,0.59,0.59,2572,0,0.0,569816572.59
400212,民生5,0.85,0.85,0.85,0.85,1198,0,-1.16,452090769.9
400215,商业城5,3.25,3.25,3.25,3.25,11945,0,4.84,1392344196.75
400216,中资5,0.36,0.36,0.36,0.36,2149,0,0.0,124200000.0
400219,碳元5,0.37,0.37,0.37,0.37,1568,0,0.0,77398524.0
400220,同达5,2.63,2.63,2.63,2.63,695,0,0.0,365947536.5
400224,苏阳光5,0.19,0.19,0.19,0.19,5150,0,0.0,338834661.94
400227,利能5,0.55,0.55,0.55,0.55,31068,0,-1.79,1958342206.7
400232,左江5,2.29,2.29,2.29,2.29,2013,0,-4.98,233648700.0
400236,中银5,0.45,0.45,0.45,0.45,95121,0,-2.17,1910829572.1
400237,天通5,1.01,1.01,1.01,1.01,55076,0,4.12,1220539776.24
400247,航高5,0.4,0.4,0.4,0.4,14549,0,0.0,1001577170.0
400250,鼎龙5,0.31,0.31,0.31,0.31,7334,0,3.33,285198338.09
400251,海印5,0.28,0.28,0.28,0.28,39246,0,0.0,702588531.96
400256,鹏都5,0.18,0.18,0.18,0.18,28386,0,0.0,1147366995.84
400260,大药5,0.65,0.65,0.65,0.65,2258,0,0.0,142805000.0
400270,龙津5,0.48,0.48,0.48,0.48,3958,0,0.0,192240000.0
400271,龙宇5,3.38,3.38,3.38,3.38,1971,0,-3.15,1271871468.92
400289,德邦5,11.19,11.19,11.19,11.19,140,0,4.97,11319451369.53
420063,武锅B5,0.075,0.075,0.075,0.075,445,0,0.0,22275000.0
420073,上普B5,0.233,0.233,0.233,0.233,74,0,1.3,89058503.52
420085,东沣B5,0.019,0.019,0.019,0.019,8,0,0.0,11952774.9
420120,绿庭B5,0.018,0.018,0.018,0.018,1500,0,0.0,12600492.68
420273,凌云B5,0.058,0.058,0.058,0.058,1522,0,0.0,20242000.0
