代码,名称,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅(%),买量(手),卖量(手),总市值(元)
400002,长白5,2.97,2.97,2.97,2.97,93,276.21,-1.98,8,145,179979879.42
400021,华夏5,0.66,0.66,0.66,0.66,331,218.46,-1.49,19,542,242589600.0
400027,生态5,0.31,0.31,0.31,0.31,2020,626.2,3.33,2240,0,138272157.58
400030,R蓝璟1,0.77,0.77,0.77,0.77,1448,1114.96,4.05,171256,0,1026782892.52
400035,R比特1,0.28,0.28,0.28,0.28,6403,1792.84,-3.45,0,150068,181911281.16
400036,天创5,0.35,0.35,0.35,0.35,2465,862.75,2.94,2714,14680,129994398.45
400046,博嘉5,0.23,0.23,0.23,0.23,5835,1342.05,-4.17,6034,10082,189198000.0
400055,国瓷5,0.24,0.24,0.24,0.24,1366,327.84,0.0,1987,2498,190605600.0
400059,天珑5,1.39,1.39,1.39,1.39,1271,1766.69,-2.8,578,3435,2619758021.39
400068,昆机5,2.83,2.83,2.83,2.83,1481,4191.23,4.81,7883,0,998390475.82
400069,吉恩5,4.00,4.00,4.00,4.00,2952,11808.0,0.0,20,676,3134398884.0
400073,上普A5,4.58,4.58,4.58,4.58,383,1754.14,-4.78,327,155,1750592043.46
400082,华锐5,0.47,0.47,0.47,0.47,21518,10113.46,-2.08,3508,14937,2834382000.0
400089,盛运5,0.52,0.52,0.52,0.52,17436,9066.72,0.0,7130,45768,1826097281.84
400098,航通5,4.19,4.19,4.19,4.19,1531,6414.89,-1.18,161,835,4396663826.71
400100,工新5,0.63,0.63,0.63,0.63,3516,2215.08,1.61,1746,9039,2422397924.1
400110,天翔5,0.52,0.52,0.52,0.52,248,128.96,1.96,1426,3205,806762814.52
400119,西创5,1.08,1.08,1.08,1.08,5827,6293.16,2.86,940,11709,1180509528.24
400120,绿庭A5,0.31,0.31,0.31,0.31,4036,1251.16,3.33,5644,0,217008485.01
400122,域潇5,2.31,2.31,2.31,2.31,378,873.18,-1.7,745,405,1923545080.38
400124,中房5,0.19,0.19,0.19,0.19,863,163.97,0.0,7142,5973,110047035.75
400125,明科5,0.75,0.75,0.75,0.75,150,112.5,-1.32,1086,4769,328059393.0
400128,罗顿5,0.56,0.56,0.56,0.56,200,112.0,-1.75,1746,975,245846254.64
400131,科迪5,0.81,0.81,0.81,0.81,2839,2299.59,0.0,1222,15115,1596317247.54
400138,欣盛5,0.61,0.61,0.61,0.61,200,122.0,-1.61,1474,1094,112739960.27
400140,东海A5,0.70,0.70,0.70,0.70,3769,2638.3,-4.11,0,995,254870000.0
400142,宝德5,0.75,0.75,0.75,0.75,332,249.0,0.0,1867,1131,237080081.25
400143,德威5,0.95,0.95,0.95,0.95,4077,3873.15,-5.0,4035,4501,1292553011.15
400146,聚龙5,0.34,0.34,0.34,0.34,2278,774.52,0.0,1408,6990,186831360.0
400149,金泰5,0.61,0.61,0.61,0.61,336,204.96,1.67,85,3267,90345360.28
400151,天首5,1.00,1.00,1.00,1.00,200,200.0,-1.96,469,313,321822022.0
400163,计通5,1.59,1.59,1.59,1.59,731,1162.29,2.58,822,1188,267120000.0
400170,运盛5,0.33,0.33,0.33,0.33,445,146.85,0.0,1144,2556,112533360.06
400177,阳竹5,1.71,1.71,1.71,1.71,184,314.64,0.59,5461,36,462166488.0
400192,宋都5,0.22,0.22,0.22,0.22,2838,624.36,0.0,1045,6027,294826911.72
400201,海投5,0.49,0.49,0.49,0.49,3977,1948.73,0.0,7520,12155,700814868.25
400208,金鹤5,0.26,0.26,0.26,0.26,19477,5064.02,0.0,125972,29088,408591393.08
400210,博天5,0.55,0.55,0.55,0.55,4855,2670.25,-3.51,484,140,531184940.55
400212,民生5,0.90,0.90,0.90,0.90,2104,1893.6,-1.1,920,6938,478684344.6
400215,商业城5,3.09,3.09,3.09,3.09,7870,24318.3,4.75,20144,0,1323798020.91
400216,中资5,0.38,0.38,0.38,0.38,673,255.74,0.0,2667,2493,131100000.0
400219,碳元5,0.36,0.36,0.36,0.36,3551,1278.36,0.0,1313,4557,75306672.0
400220,同达5,2.77,2.77,2.77,2.77,333,922.41,-3.48,0,242,385427633.5
400224,苏阳光5,0.19,0.19,0.19,0.19,2588,491.72,0.0,27366,19452,338834661.94
400227,利能5,0.60,0.60,0.60,0.60,18998,11398.8,3.45,146279,0,2136373316.4
400232,左江5,2.39,2.39,2.39,2.39,771,1842.69,0.0,59,2056,243851700.0
400236,中银5,0.44,0.44,0.44,0.44,78255,34432.2,-4.35,0,64302,1868366692.72
400237,天通5,0.88,0.88,0.88,0.88,44731,39363.28,4.76,134807,0,1063440597.12
400247,航高5,0.39,0.39,0.39,0.39,21654,8445.06,0.0,18317,18769,976537740.75
400250,鼎龙5,0.31,0.31,0.31,0.31,6955,2156.05,0.0,7647,2591,285198338.09
400251,海印5,0.27,0.27,0.27,0.27,18799,5075.73,0.0,43547,21389,677496084.39
400256,鹏都5,0.18,0.18,0.18,0.18,21417,3855.06,0.0,78838,70587,1147366995.84
400260,大药5,0.63,0.63,0.63,0.63,3989,2513.07,-4.55,0,6676,138411000.0
400270,龙津5,0.50,0.50,0.50,0.50,2316,1158.0,0.0,6060,10867,200250000.0
400271,龙宇5,3.21,3.21,3.21,3.21,2692,8641.32,-2.73,1292,513,1207901602.14
400289,德邦5,10.66,10.66,10.66,10.66,80,852.8,-4.74,68,32,10783320071.42
420073,上普B5,0.225,0.225,0.225,0.225,4,0.9,-2.17,392,42,86000700.83
420085,东沣B5,0.018,0.018,0.018,0.018,5,0.09,-5.26,0,2099,11323681.49
420120,绿庭B5,0.019,0.019,0.019,0.019,217,4.12,5.56,4701,1904,13300520.05
